TIME,ADDRESS,SNOOP_TYPE,TAG,INDEX,MATCH_FOUND,WAY,WAS_DIRTY,WAS_VALID
251754584000,0000000000097780,d,0000000000012e,30,0,,,
251754897000,0000000000097780,d,0000000000012e,30,0,,,
251773343000,0000000000097780,d,0000000000012e,30,0,,,
251773656000,0000000000097780,d,0000000000012e,30,0,,,
251792561000,0000000000097780,d,0000000000012e,30,0,,,
251792874000,0000000000097780,d,0000000000012e,30,0,,,
251811455000,0000000000097780,d,0000000000012e,30,0,,,
251811768000,0000000000097780,d,0000000000012e,30,0,,,
251830496000,0000000000097780,d,0000000000012e,30,0,,,
251830809000,0000000000097780,d,0000000000012e,30,0,,,
251849669000,0000000000097780,d,0000000000012e,30,0,,,
251849982000,0000000000097780,d,0000000000012e,30,0,,,
251868485000,0000000000097780,d,0000000000012e,30,0,,,
251868798000,0000000000097780,d,0000000000012e,30,0,,,
251887274000,0000000000097780,d,0000000000012e,30,0,,,
251887587000,0000000000097780,d,0000000000012e,30,0,,,
251906282000,0000000000097780,d,0000000000012e,30,0,,,
251906595000,0000000000097780,d,0000000000012e,30,0,,,
251924879000,0000000000097780,d,0000000000012e,30,0,,,
251925192000,0000000000097780,d,0000000000012e,30,0,,,
251943395000,0000000000097780,d,0000000000012e,30,0,,,
251943708000,0000000000097780,d,0000000000012e,30,0,,,
251961959000,0000000000097780,d,0000000000012e,30,0,,,
251962272000,0000000000097780,d,0000000000012e,30,0,,,
251980403000,0000000000097780,d,0000000000012e,30,0,,,
251980716000,0000000000097780,d,0000000000012e,30,0,,,
251999120000,0000000000097780,d,0000000000012e,30,0,,,
251999433000,0000000000097780,d,0000000000012e,30,0,,,
252017855000,0000000000097780,d,0000000000012e,30,0,,,
252018282000,0000000000097780,d,0000000000012e,30,0,,,
252036194000,0000000000097780,d,0000000000012e,30,0,,,
252036507000,0000000000097780,d,0000000000012e,30,0,,,
252054488000,0000000000097780,d,0000000000012e,30,0,,,
252054801000,0000000000097780,d,0000000000012e,30,0,,,
252073475000,0000000000097780,d,0000000000012e,30,0,,,
252073788000,0000000000097780,d,0000000000012e,30,0,,,
252092438000,0000000000097780,d,0000000000012e,30,0,,,
252092751000,0000000000097780,d,0000000000012e,30,0,,,
252111404000,0000000000097780,d,0000000000012e,30,0,,,
252111816000,0000000000097780,d,0000000000012e,30,0,,,
252130580000,0000000000097780,d,0000000000012e,30,0,,,
252130893000,0000000000097780,d,0000000000012e,30,0,,,
252150020000,0000000000097780,d,0000000000012e,30,0,,,
252150333000,0000000000097780,d,0000000000012e,30,0,,,
252170048000,0000000000097780,d,0000000000012e,30,0,,,
252170361000,0000000000097780,d,0000000000012e,30,0,,,
252188621000,0000000000097780,d,0000000000012e,30,0,,,
252188934000,0000000000097780,d,0000000000012e,30,0,,,
252207458000,0000000000097780,d,0000000000012e,30,0,,,
252207771000,0000000000097780,d,0000000000012e,30,0,,,
252232562000,0000000000097780,d,0000000000012e,30,0,,,
252232875000,0000000000097780,d,0000000000012e,30,0,,,
252258311000,0000000000097780,d,0000000000012e,30,0,,,
252258624000,0000000000097780,d,0000000000012e,30,0,,,
252284063000,0000000000097780,d,0000000000012e,30,0,,,
252284376000,0000000000097780,d,0000000000012e,30,0,,,
252310154000,0000000000097780,d,0000000000012e,30,0,,,
252310467000,0000000000097780,d,0000000000012e,30,0,,,
252336587000,0000000000097780,d,0000000000012e,30,0,,,
252336900000,0000000000097780,d,0000000000012e,30,0,,,
252362873000,0000000000097780,d,0000000000012e,30,0,,,
252363186000,0000000000097780,d,0000000000012e,30,0,,,
252388685000,0000000000097780,d,0000000000012e,30,0,,,
252390437500,000000000009a500,d,00000000000134,20,0,,,
252390438500,000000000009a680,d,00000000000134,26,0,,,
252390439500,000000000009a6c0,d,00000000000134,27,0,,,
252390440500,000000000009a700,d,00000000000134,28,0,,,
252390441500,000000000009a740,d,00000000000134,29,0,,,
252390442500,000000000009a780,d,00000000000134,30,0,,,
252391341000,0000000000097780,d,0000000000012e,30,0,,,
252416774000,0000000000097780,d,0000000000012e,30,0,,,
252417036000,0000000000097780,d,0000000000012e,30,0,,,
252442376000,0000000000097780,d,0000000000012e,30,0,,,
252442638000,0000000000097780,d,0000000000012e,30,0,,,
252468119000,0000000000097780,d,0000000000012e,30,0,,,
252468381000,0000000000097780,d,0000000000012e,30,0,,,
252493994000,0000000000097780,d,0000000000012e,30,0,,,
252494256000,0000000000097780,d,0000000000012e,30,0,,,
252519638000,0000000000097780,d,0000000000012e,30,0,,,
252519900000,0000000000097780,d,0000000000012e,30,0,,,
252553136000,0000000000097780,d,0000000000012e,30,0,,,
252553398000,0000000000097780,d,0000000000012e,30,0,,,
252586628000,0000000000097780,d,0000000000012e,30,0,,,
252586890000,0000000000097780,d,0000000000012e,30,0,,,
252619994000,0000000000097780,d,0000000000012e,30,0,,,
252620256000,0000000000097780,d,0000000000012e,30,0,,,
252660929000,0000000000097780,d,0000000000012e,30,0,,,
252661191000,0000000000097780,d,0000000000012e,30,0,,,
252702038000,0000000000097780,d,0000000000012e,30,0,,,
252702300000,0000000000097780,d,0000000000012e,30,0,,,
252743048000,0000000000097780,d,0000000000012e,30,0,,,
