TIME,PC,INSTRUCTION,REG_DEST,PREV_VALUE,NEW_VALUE,UPDATE_TYPE
3312500,00000000000108d8,00371713,x14,0000000000000023,0000000000000118,ALU
3315500,00000000000108dc,00e78733,x14,0000000000000118,0000000000010158,ALU
3369000,00000000000108e4,0007a683,x13,0000000000000005,0000000000000001,LOAD
3372000,00000000000108e8,00700613,x12,fffffffffffffffd,0000000000000007,ALU
3379500,00000000000108fc,03878793,x15,0000000000010040,0000000000010078,ALU
3431000,00000000000108f4,0007a683,x13,0000000000000001,0000000000000001,LOAD
3437000,00000000000108fc,03878793,x15,0000000000010078,00000000000100b0,ALU
3492000,00000000000108f4,0007a683,x13,0000000000000001,0000000000000004,LOAD
3498000,00000000000108fc,03878793,x15,00000000000100b0,00000000000100e8,ALU
3561000,00000000000108f4,0007a683,x13,0000000000000004,0000000000000007,LOAD
3657000,0000000000010a4c,0307bb83,x23,0000000000000000,0000000000000008,LOAD
3661000,0000000000010a50,0287bc03,x24,0000000000000000,0000000000000050,LOAD
3665000,0000000000010a54,0207b983,x19,0000000000000000,0000000000000020,LOAD
3669000,0000000000010a58,0107ba03,x20,0000000000000000,0000000000093f50,LOAD
3678000,0000000000010a64,fffb8913,x18,0000000000000000,0000000000000007,ALU
3681000,0000000000010a68,01250533,x10,0000000000000000,0000000000000007,ALU
3684000,0000000000010a6c,000b8c93,x25,0000000000000000,0000000000000008,ALU
3687000,0000000000010a70,012c0933,x18,0000000000000007,0000000000000057,ALU
3694500,000000000001091c,03755433,x8,0000000000010b00,0000000000000000,ALU
3747000,0000000000010920,8e81b503,x10,0000000000000007,0000000000000800,LOAD
3750000,0000000000010924,70050513,x10,0000000000000800,0000000000000f00,ALU
3753000,0000000000010928,01850533,x10,0000000000000f00,0000000000000f50,ALU
3756000,000000000001092c,01550533,x10,0000000000000f50,0000000000000f60,ALU
3759000,0000000000010930,03740433,x8,0000000000000000,0000000000000000,ALU
3762000,0000000000010934,00850533,x10,0000000000000f60,0000000000000f60,ALU
3765000,0000000000010938,3e0170ef,x1,0000000000010510,000000000001093c,JUMP
3818500,0000000000027d18,fe010113,x2,000000003fbffe60,000000003fbffe40,ALU
3885000,0000000000027d24,cc81b403,x8,0000000000000000,0000000000000000,LOAD
3896000,0000000000027d30,00050493,x9,0000000000010bd8,0000000000000f60,ALU
3956500,0000000000027d40,00000513,x10,0000000000000f60,0000000000000000,ALU
3959500,0000000000027d44,1d0240ef,x1,000000000001093c,0000000000027d48,JUMP
4007500,000000000004bf14,00050793,x15,00000000000100e8,0000000000000000,ALU
4010500,000000000004bf18,00c00893,x17,0000000000000003,000000000000000c,ALU
4015000,000000000004bf1c,00000073,x10,0000000000000000,0000000000098000,ECALL
4030500,000000000004bf28,00000513,x10,0000000000098000,0000000000000000,ALU
4042000,0000000000027d4c,cc81b403,x8,0000000000000000,0000000000098000,LOAD
4051000,0000000000027d58,008487b3,x15,0000000000000000,0000000000098f60,ALU
4054000,0000000000027d5c,0087b7b3,x15,0000000000098f60,0000000000000000,ALU
4109500,0000000000027d8c,00940533,x10,0000000000000000,0000000000098f60,ALU
4112500,0000000000027d90,184240ef,x1,0000000000027d48,0000000000027d94,JUMP
4117000,000000000004bf14,00050793,x15,0000000000000000,0000000000098f60,ALU
4120000,000000000004bf18,00c00893,x17,000000000000000c,000000000000000c,ALU
4124500,000000000004bf1c,00000073,x10,0000000000098f60,0000000000098f60,ECALL
4140000,000000000004bf28,00000513,x10,0000000000098f60,0000000000000000,ALU
4151500,0000000000027d98,01813083,x1,0000000000027d94,000000000001093c,LOAD
4154500,0000000000027d9c,00040513,x10,0000000000000000,0000000000098000,ALU
4158500,0000000000027da0,00813483,x9,0000000000000f60,0000000000010bd8,LOAD
4162500,0000000000027da4,01013403,x8,0000000000098000,0000000000000000,LOAD
4166500,0000000000027da8,00013903,x18,0000000000000057,0000000000000057,LOAD
4169500,0000000000027dac,02010113,x2,000000003fbffe40,000000003fbffe60,ALU
4223500,000000000001093c,03795933,x18,0000000000000057,000000000000000a,ALU
4268500,0000000000010940,015504b3,x9,0000000000010bd8,0000000000098010,ALU
4271500,0000000000010944,000957b7,x15,0000000000098f60,0000000000095000,ALU
4320000,0000000000010948,3e87bd03,x26,0000000000000000,0000000000094f28,LOAD
4323000,000000000001094c,41500533,x10,0000000000098000,fffffffffffffff0,ALU
4326000,0000000000010950,6ff48493,x9,0000000000098010,000000000009870f,ALU
4329000,0000000000010954,00a4f4b3,x9,000000000009870f,0000000000098700,ALU
4332000,0000000000010958,000976b7,x13,0000000000000007,0000000000097000,ALU
4335000,000000000001095c,00848733,x14,0000000000010158,0000000000098700,ALU
4338000,0000000000010960,c1868793,x15,0000000000095000,0000000000096c18,ALU
4440000,000000000001096c,00098613,x12,0000000000000007,0000000000000020,ALU
4443000,0000000000010970,00070513,x10,fffffffffffffff0,0000000000098700,ALU
4446000,0000000000010974,03e00813,x16,0000000000000009,000000000000003e,ALU
4497000,000000000001097c,000a0593,x11,0000000000000010,0000000000093f50,ALU
4548500,0000000000010984,0c1150ef,x1,000000000001093c,0000000000010988,JUMP
4598500,0000000000026244,00a5c7b3,x15,0000000000096c18,000000000000b850,ALU
4601500,0000000000026248,0077f793,x15,000000000000b850,0000000000000000,ALU
4604500,000000000002624c,00c508b3,x17,000000000000000c,0000000000098720,ALU
4610500,0000000000026254,00700793,x15,0000000000000000,0000000000000007,ALU
4616500,000000000002625c,00757793,x15,0000000000000007,0000000000000000,ALU
4619500,0000000000026260,00050713,x14,0000000000098700,0000000000098700,ALU
4625500,0000000000026268,ff88f813,x16,000000000000003e,0000000000098720,ALU
4628500,000000000002626c,fc080793,x15,0000000000000000,00000000000986e0,ALU
4634500,0000000000026274,00058693,x13,0000000000097000,0000000000093f50,ALU
4637500,0000000000026278,00070793,x15,00000000000986e0,0000000000098700,ALU
4734000,0000000000026280,0006b603,x12,0000000000000020,0000000000095730,LOAD
4737000,0000000000026284,00878793,x15,0000000000098700,0000000000098708,ALU
