TIME,PC,INSTRUCTION,OPCODE,FUNCT3,RS1,RS2,RD,JUMP_IF,ALU_OP,BRANCH_TAKEN,JUMP_ABS,REG_WRITE,MEM_READ,MEM_WRITE,MEM_TO_REG,IS_LOAD,IS_STORE,IS_ECALL,IS_BREAK,ALU_WIDTH_32,SIGNED_TYPE,ALU_USE_IMMED,DATA_SIZE,DATA_SIGN
33777500,0000000000024ed0,00050593,OP_OP_IMM,0,0a,00,0b,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33777750,0000000000024ed0,00050593,OP_OP_IMM,0,0a,00,0b,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33777750,0000000000024ed0,00050593,OP_OP_IMM,0,0a,00,0b,JUMP_NO,ALU_ADDI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33780500,0000000000024ed4,06079c63,OP_BRANCH,1,0f,00,00,JUMP_ALU_NEZ,ALU_BNE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33780500,0000000000024ed4,06079c63,OP_BRANCH,1,0f,00,00,JUMP_ALU_NEZ,ALU_BNE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33780750,0000000000024ed4,06079c63,OP_BRANCH,1,0f,00,00,JUMP_ALU_NEZ,ALU_BNE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33780750,0000000000024ed4,06079c63,OP_BRANCH,1,0f,00,00,JUMP_ALU_NEZ,ALU_BNE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
33783500,0000000000024ed8,000967b7,OP_LUI,6,00,00,0f,JUMP_NO,ALU_LUI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33783500,0000000000024ed8,000967b7,OP_LUI,6,00,00,0f,JUMP_NO,ALU_LUI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33783750,0000000000024ed8,000967b7,OP_LUI,6,00,00,0f,JUMP_NO,ALU_LUI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33783750,0000000000024ed8,000967b7,OP_LUI,6,00,00,0f,JUMP_NO,ALU_LUI,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
33786500,0000000000024edc,9207b683,OP_LOAD,3,0f,00,0d,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33786500,0000000000024edc,9207b683,OP_LOAD,3,0f,00,0d,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33786750,0000000000024edc,9207b683,OP_LOAD,3,0f,00,0d,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
33786750,0000000000024edc,9207b683,OP_LOAD,3,0f,00,0d,JUMP_NO,ALU_LD,0,0,1,1,0,1,1,0,0,0,0,0,1,7,1
