TIME,PC,INSTRUCTION,ALU_OP,OPERAND1,OPERAND2,RESULT,ZERO,ALU_32
1067500,00000000000296f4,b781a703,ALU_LW,00000000000960f0,fffffffffffffb78,0000000000095c68,0,0
1071500,00000000000296f8,000974b7,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
1071500,00000000000296f8,000974b7,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
1074500,00000000000296fc,0b513823,ALU_SD,000000003fbffde0,00000000000000b0,000000003fbffe90,0,0
1074500,00000000000296fc,0b513823,ALU_SD,000000003fbffde0,00000000000000b0,000000003fbffe90,0,0
1128000,0000000000029700,02e12e23,ALU_SW,000000003fbffde0,000000000000003c,000000003fbffe1c,0,0
1128000,0000000000029700,02e12e23,ALU_SW,000000003fbffde0,000000000000003c,000000003fbffe1c,0,0
1132000,0000000000029704,b881b703,ALU_LD,00000000000960f0,fffffffffffffb88,0000000000095c78,0,0
1132000,0000000000029704,b881b703,ALU_LD,00000000000960f0,fffffffffffffb88,0000000000095c78,0,0
1136000,0000000000029708,0d213423,ALU_SD,000000003fbffde0,00000000000000c8,000000003fbffea8,0,0
1136000,0000000000029708,0d213423,ALU_SD,000000003fbffde0,00000000000000c8,000000003fbffea8,0,0
1140000,000000000002970c,00e13c23,ALU_SD,000000003fbffde0,0000000000000018,000000003fbffdf8,0,0
1140000,000000000002970c,00e13c23,ALU_SD,000000003fbffde0,0000000000000018,000000003fbffdf8,0,0
1197500,0000000000029710,0b04b703,ALU_LD,0000000000097000,00000000000000b0,00000000000970b0,0,0
1197500,0000000000029710,0b04b703,ALU_LD,0000000000097000,00000000000000b0,00000000000970b0,0,0
1201500,0000000000029714,00097937,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
1201500,0000000000029714,00097937,ALU_LUI,0000000000000000,0000000000097000,0000000000097000,0,0
1204500,0000000000029718,00094837,ALU_LUI,0000000000000000,0000000000094000,0000000000094000,0,0
1204500,0000000000029718,00094837,ALU_LUI,0000000000000000,0000000000094000,0000000000094000,0,0
1207500,000000000002971c,00e13423,ALU_SD,000000003fbffde0,0000000000000008,000000003fbffde8,0,0
1207500,000000000002971c,00e13423,ALU_SD,000000003fbffde0,0000000000000008,000000003fbffde8,0,0
1211500,0000000000029720,9a81b703,ALU_LD,00000000000960f0,fffffffffffff9a8,0000000000095a98,0,0
1211500,0000000000029720,9a81b703,ALU_LD,00000000000960f0,fffffffffffff9a8,0000000000095a98,0,0
1266500,0000000000029724,0d313023,ALU_SD,000000003fbffde0,00000000000000c0,000000003fbffea0,0,0
1266500,0000000000029724,0d313023,ALU_SD,000000003fbffde0,00000000000000c0,000000003fbffea0,0,0
1270500,0000000000029728,0b413c23,ALU_SD,000000003fbffde0,00000000000000b8,000000003fbffe98,0,0
1270500,0000000000029728,0b413c23,ALU_SD,000000003fbffde0,00000000000000b8,000000003fbffe98,0,0
1274500,000000000002972c,06e13c23,ALU_SD,000000003fbffde0,0000000000000078,000000003fbffe58,0,0
1274500,000000000002972c,06e13c23,ALU_SD,000000003fbffde0,0000000000000078,000000003fbffe58,0,0
1278500,0000000000029730,10893703,ALU_LD,0000000000097000,0000000000000108,0000000000097108,0,0
1278500,0000000000029730,10893703,ALU_LD,0000000000097000,0000000000000108,0000000000097108,0,0
1282500,0000000000029734,fa080813,ALU_ADDI,0000000000094000,ffffffffffffffa0,0000000000093fa0,0,0
