TIME,OP,PC,ADDR,SIZE,SIGN,DATA,HIT_MISS,SET,TAG,WAY,INSTRUCTION
19714000, READ,0000000000015fa8,000000003fc00018,7,1,0000000000000000, HIT,0,0000000007f800,1,0004b403
19714500, READ,0000000000015fa8,000000003fc00018,7,1,0000000000000000, HIT,0,0000000007f800,1,0004b403
19843500, READ,000000000001606c,000000003fbffe38,7,1,0000000000029adc, HIT,24,0000000007f7ff,1,03813083
19844000, READ,000000000001606c,000000003fbffe38,7,1,0000000000029adc, HIT,24,0000000007f7ff,1,03813083
19850500, READ,0000000000016074,000000003fbffe28,7,1,0000000000097000, HIT,24,0000000007f7ff,1,02813483
19851000, READ,0000000000016074,000000003fbffe28,7,1,0000000000097000, HIT,24,0000000007f7ff,1,02813483
19854500, READ,0000000000016078,000000003fbffe30,7,1,0000000000000001, HIT,24,0000000007f7ff,1,03013403
19855000, READ,0000000000016078,000000003fbffe30,7,1,0000000000000001, HIT,24,0000000007f7ff,1,03013403
19858500, READ,000000000001607c,000000003fbffe20,7,1,0000000000097000, HIT,24,0000000007f7ff,1,02013903
19859000, READ,000000000001607c,000000003fbffe20,7,1,0000000000097000, HIT,24,0000000007f7ff,1,02013903
19912500, READ,0000000000016080,000000003fbffe18,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01813983
19913000, READ,0000000000016080,000000003fbffe18,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01813983
19916500, READ,0000000000016084,000000003fbffe10,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01013a03
19917000, READ,0000000000016084,000000003fbffe10,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01013a03
19920500, READ,0000000000016088,000000003fbffe08,7,1,0000000000000000, HIT,24,0000000007f7ff,1,00813a83
19921000, READ,0000000000016088,000000003fbffe08,7,1,0000000000000000, HIT,24,0000000007f7ff,1,00813a83
19924500, READ,000000000001608c,000000003fbffe00,7,1,0000000000000000, HIT,24,0000000007f7ff,1,00013b03
19925000, READ,000000000001608c,000000003fbffe00,7,1,0000000000000000, HIT,24,0000000007f7ff,1,00013b03
20098000, READ,0000000000029ae0,00000000000841a0,1,0,0000000000000000, HIT,6,00000000000108,0,00054783
20098500, READ,0000000000029ae0,00000000000841a0,1,0,0000000000000000, HIT,6,00000000000108,0,00054783
20105000, READ,0000000000029ae8,00000000000970f0,7,1,0000000000000000, HIT,3,0000000000012e,1,0f09b703
20105500, READ,0000000000029ae8,00000000000970f0,7,1,0000000000000000, HIT,3,0000000000012e,1,0f09b703
20167000,WRITE,0000000000029af4,0000000000097100,4,1,0000000000000000, HIT,4,0000000000012e,1,10f6a023
20167500,WRITE,0000000000029af4,0000000000097100,4,1,0000000000000000, HIT,4,0000000000012e,1,10f6a023
20275500,WRITE,0000000000015f6c,000000003fbffe28,7,1,0000000000097000, HIT,24,0000000007f7ff,1,02913423
20276000,WRITE,0000000000015f6c,000000003fbffe28,7,1,0000000000097000, HIT,24,0000000007f7ff,1,02913423
20279500,WRITE,0000000000015f70,000000003fbffe10,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01413823
20280000,WRITE,0000000000015f70,000000003fbffe10,7,1,0000000000000000, HIT,24,0000000007f7ff,1,01413823
20283500,WRITE,0000000000015f74,000000003fbffe38,7,1,0000000000029d70, HIT,24,0000000007f7ff,1,02113c23
20284000,WRITE,0000000000015f74,000000003fbffe38,7,1,0000000000029d70, HIT,24,0000000007f7ff,1,02113c23
20287500,WRITE,0000000000015f78,000000003fbffe30,7,1,0000000000000001, HIT,24,0000000007f7ff,1,02813823
20288000,WRITE,0000000000015f78,000000003fbffe30,7,1,0000000000000001, HIT,24,0000000007f7ff,1,02813823
20291500,WRITE,0000000000015f7c,000000003fbffe20,7,1,0000000000097000, HIT,24,0000000007f7ff,1,03213023
