TIME,PC,INSTRUCTION,REG_A_CONTENTS,REG_B_CONTENTS,REGA_FINAL,REGB_FINAL,ALU_RESULT,JUMP_TARGET,JUMP_TAKEN,ALU_OP,ALU_OP_NAME,OPCODE,OPCODE_NAME,IMMEDIATE
913000,00000000000296e0,0c813c23,000000003fbffde0,0000000000010b00,0000000000010b00,000000003fbffde0,00000000000000d8,000000003fbffeb8,0000000000000000,0, 53,ALU_SD, 35,OP_STORE,00000000000000d8
964000,00000000000296e4,06e12023,000000003fbffde0,0000000000000001,0000000000000001,000000003fbffde0,0000000000000060,000000003fbffe40,0000000000000000,0, 52,ALU_SW, 35,OP_STORE,0000000000000060
1012000,00000000000296e8,138e2703,0000000000097000,0000000000000000,0000000000000000,0000000000097000,0000000000000138,0000000000097138,0000000000000000,0, 82,ALU_LW,  3,OP_LOAD,0000000000000138
1060000,00000000000296ec,0c913823,000000003fbffde0,0000000000010bd8,0000000000010bd8,000000003fbffde0,00000000000000d0,000000003fbffeb0,0000000000000000,0, 53,ALU_SD, 35,OP_STORE,00000000000000d0
1064000,00000000000296f0,06e12223,000000003fbffde0,0000000000000000,0000000000000000,000000003fbffde0,0000000000000064,000000003fbffe44,0000000000000000,0, 52,ALU_SW, 35,OP_STORE,0000000000000064
1068000,00000000000296f4,b781a703,00000000000960f0,0000000000000000,0000000000000000,00000000000960f0,fffffffffffffb78,0000000000095c68,0000000000000000,0, 82,ALU_LW,  3,OP_LOAD,fffffffffffffb78
1072000,00000000000296f8,000974b7,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000097000,0000000000097000,0000000000000000,0, 72,ALU_LUI, 55,OP_LUI,0000000000097000
1075000,00000000000296fc,0b513823,000000003fbffde0,0000000000000000,0000000000000000,000000003fbffde0,00000000000000b0,000000003fbffe90,0000000000000000,0, 53,ALU_SD, 35,OP_STORE,00000000000000b0
1128500,0000000000029700,02e12e23,000000003fbffde0,0000000000000000,0000000000000000,000000003fbffde0,000000000000003c,000000003fbffe1c,0000000000000000,0, 52,ALU_SW, 35,OP_STORE,000000000000003c
1132500,0000000000029704,b881b703,00000000000960f0,0000000000000000,0000000000000000,00000000000960f0,fffffffffffffb88,0000000000095c78,0000000000000000,0, 86,ALU_LD,  3,OP_LOAD,fffffffffffffb88
1136500,0000000000029708,0d213423,000000003fbffde0,0000000000000000,0000000000000000,000000003fbffde0,00000000000000c8,000000003fbffea8,0000000000000000,0, 53,ALU_SD, 35,OP_STORE,00000000000000c8
1140500,000000000002970c,00e13c23,000000003fbffde0,0000000000000000,0000000000000000,000000003fbffde0,0000000000000018,000000003fbffdf8,0000000000000000,0, 53,ALU_SD, 35,OP_STORE,0000000000000018
1198000,0000000000029710,0b04b703,0000000000097000,0000000000000000,0000000000000000,0000000000097000,00000000000000b0,00000000000970b0,0000000000000000,0, 86,ALU_LD,  3,OP_LOAD,00000000000000b0
1202000,0000000000029714,00097937,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000097000,0000000000097000,0000000000000000,0, 72,ALU_LUI, 55,OP_LUI,0000000000097000
1205000,0000000000029718,00094837,0000000000000000,0000000000000000,0000000000000000,0000000000000000,0000000000094000,0000000000094000,0000000000000000,0, 72,ALU_LUI, 55,OP_LUI,0000000000094000
1208000,000000000002971c,00e13423,000000003fbffde0,0000000000000000,0000000000000000,000000003fbffde0,0000000000000008,000000003fbffde8,0000000000000000,0, 53,ALU_SD, 35,OP_STORE,0000000000000008
1212000,0000000000029720,9a81b703,00000000000960f0,0000000000000000,0000000000000000,00000000000960f0,fffffffffffff9a8,0000000000095a98,0000000000000000,0, 86,ALU_LD,  3,OP_LOAD,fffffffffffff9a8
1267000,0000000000029724,0d313023,000000003fbffde0,0000000000000000,0000000000000000,000000003fbffde0,00000000000000c0,000000003fbffea0,0000000000000000,0, 53,ALU_SD, 35,OP_STORE,00000000000000c0
1271000,0000000000029728,0b413c23,000000003fbffde0,0000000000000000,0000000000000000,000000003fbffde0,00000000000000b8,000000003fbffe98,0000000000000000,0, 53,ALU_SD, 35,OP_STORE,00000000000000b8
1275000,000000000002972c,06e13c23,000000003fbffde0,0000000000001000,0000000000001000,000000003fbffde0,0000000000000078,000000003fbffe58,0000000000000000,0, 53,ALU_SD, 35,OP_STORE,0000000000000078
